time,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z
0.180458000,-0.01083,-0.07818,0.00282,0.14687,-0.21457,-0.15934
0.183108000,-0.01044,-0.07874,0.00240,0.14687,-0.21457,-0.15934
0.185760000,-0.01005,-0.07931,0.00197,0.14687,-0.21457,-0.15934
0.188413000,-0.00967,-0.07988,0.00155,0.14687,-0.21457,-0.15934
0.191064000,-0.01141,-0.08024,0.00122,-0.65813,-0.13582,-0.12434
0.193712000,-0.01315,-0.08060,0.00089,-0.65813,-0.13582,-0.12434
0.196367000,-0.01490,-0.08096,0.00056,-0.65813,-0.13582,-0.12434
0.199016000,-0.01664,-0.08132,0.00023,-0.65813,-0.13582,-0.12434
0.201664000,-0.02047,-0.08133,0.00215,-1.44563,-0.00457,0.72441
0.204313000,-0.02430,-0.08135,0.00407,-1.44563,-0.00457,0.72441
0.206973000,-0.02814,-0.08136,0.00599,-1.44563,-0.00457,0.72441
0.209625000,-0.03197,-0.08137,0.00792,-1.44563,-0.00457,0.72441
0.212274000,-0.03907,-0.08136,0.01129,-2.67938,0.00418,1.27566
0.214923000,-0.04616,-0.08135,0.01467,-2.67938,0.00418,1.27566
0.217580000,-0.05327,-0.08134,0.01806,-2.67938,0.00418,1.27566
0.220226000,-0.06037,-0.08133,0.02143,-2.67938,0.00418,1.27566
0.222876000,-0.06862,-0.08145,0.02305,-3.11688,-0.04832,0.61066
0.225524000,-0.07687,-0.08158,0.02467,-3.11688,-0.04832,0.61066
0.228220000,-0.08526,-0.08171,0.02631,-3.11688,-0.04832,0.61066
0.230867000,-0.09351,-0.08184,0.02793,-3.11688,-0.04832,0.61066
0.233515000,-0.09375,-0.08322,0.02725,-0.08938,-0.52082,-0.25559
0.236182000,-0.09399,-0.08461,0.02657,-0.08938,-0.52082,-0.25559
0.238835000,-0.09423,-0.08599,0.02589,-0.08938,-0.52082,-0.25559
0.241482000,-0.09446,-0.08737,0.02522,-0.08938,-0.52082,-0.25559
0.244131000,-0.09952,-0.08861,0.02699,-1.90938,-0.46832,0.67191
0.246789000,-0.10459,-0.08985,0.02878,-1.90938,-0.46832,0.67191
0.249440000,-0.10965,-0.09109,0.03056,-1.90938,-0.46832,0.67191
0.252090000,-0.11471,-0.09233,0.03014,-1.90938,-0.46832,-0.15934
0.254739000,-0.11390,-0.09369,0.02972,0.30437,-0.51207,-0.15934
0.257392000,-0.11309,-0.09505,0.02929,0.30437,-0.51207,-0.15934
0.260044000,-0.11229,-0.09640,0.02887,0.30437,-0.51207,-0.15934
0.262696000,-0.11148,-0.09776,0.02917,0.30437,-0.51207,0.11191
0.265347000,-0.11496,-0.09868,0.02947,-1.31438,-0.34582,0.11191
0.268005000,-0.11846,-0.09960,0.02976,-1.31438,-0.34582,0.11191
0.270658000,-0.12194,-0.10051,0.03006,-1.31438,-0.34582,0.11191
0.273314000,-0.12543,-0.10143,0.03129,-1.31438,-0.34582,0.46191
0.275971000,-0.13287,-0.10068,0.03251,-2.80188,0.28418,0.46191
0.278633000,-0.14033,-0.09992,0.03374,-2.80188,0.28418,0.46191
0.281283000,-0.14776,-0.09917,0.03497,-2.80188,0.28418,0.46191
0.283932000,-0.15517,-0.09842,0.03617,-2.80188,0.28418,0.45316
0.286587000,-0.15884,-0.09852,0.03737,-1.38438,-0.03957,0.45316
0.289239000,-0.16252,-0.09863,0.03857,-1.38438,-0.03957,0.45316
0.291890000,-0.16619,-0.09873,0.03977,-1.38438,-0.03957,0.45316
0.294539000,-0.16985,-0.09884,0.04030,-1.38438,-0.03957,0.19941
0.297204000,-0.17060,-0.09978,0.04083,-0.28188,-0.35457,0.19941
0.299861000,-0.17135,-0.10072,0.04136,-0.28188,-0.35457,0.19941
0.302510000,-0.17210,-0.10166,0.04189,-0.28188,-0.35457,0.19941
0.305162000,-0.17284,-0.10260,0.04260,-0.28188,-0.35457,0.26941
